movieId,title,genres,year,rating
1,Toy Story,adventure,1995,3.920930233
2,Jumanji,adventure,1995,3.431818182
3,Grumpier Old Men,comedy,1995,3.259615385
4,Waiting to Exhale,comedy,1995,2.357142857
5,Father of the Bride Part II,comedy,1995,3.071428571
6,Heat,action,1995,3.946078431
7,Sabrina,comedy,1995,3.185185185
8,Tom and Huck,adventure,1995,2.875
9,Sudden Death,action,1995,3.125
10,GoldenEye,action,1995,3.496212121
11,"American President, The",comedy,1995,3.671428571
12,Dracula: Dead and Loving It,comedy,1995,2.421052632
13,Balto,adventure,1995,3.125
14,Nixon,drama,1995,3.833333333
15,Cutthroat Island,action,1995,3.0
16,Casino,crime,1995,3.926829268
17,Sense and Sensibility,drama,1995,3.776119403
18,Four Rooms,comedy,1995,3.7
19,Ace Ventura: When Nature Calls,comedy,1995,2.727272727
20,Money Train,action,1995,2.5
21,Get Shorty,comedy,1995,3.494382022
22,Copycat,crime,1995,3.222222222
23,Assassins,action,1995,3.125
24,Powder,drama,1995,3.125
25,Leaving Las Vegas,drama,1995,3.625
26,Othello,drama,1995,3.5
27,Now and Then,children,1995,3.333333333
28,Persuasion,drama,1995,4.227272727
29,"City of Lost Children, The (Cité des enfants perdus, La)",adventure,1995,4.013157895
30,Shanghai Triad (Yao a yao yao dao waipo qiao),crime,1995,3.0
31,Dangerous Minds,drama,1995,3.184210526
32,Twelve Monkeys (a.k.a. 12 Monkeys),mystery,1995,3.983050847
34,Babe,children,1995,3.65234375
36,Dead Man Walking,crime,1995,3.835820896
38,It Takes Two,children,1995,2.125
39,Clueless,comedy,1995,3.293269231
40,"Cry, the Beloved Country",drama,1995,4.25
41,Richard III,drama,1995,3.7
42,Dead Presidents,action,1995,3.0
43,Restoration,drama,1995,3.1875
44,Mortal Kombat,action,1995,2.543478261
45,To Die For,comedy,1995,3.3125
46,How to Make an American Quilt,drama,1995,3.066666667
47,Seven (a.k.a. Se7en),mystery,1995,3.975369458
48,Pocahontas,animation,1995,3.147058824
49,When Night Is Falling,drama,1995,3.0
50,"Usual Suspects, The",crime,1995,4.237745098
52,Mighty Aphrodite,comedy,1995,3.464285714
53,Lamerica,adventure,1994,5.0
54,"Big Green, The",children,1995,2.333333333
55,Georgia,drama,1995,4.0
